,oru,odc_location
0,1,"(-5.8153801334117645, -35.21147991952941)"
1,2,"(-5.8153801334117645, -35.21147991952941)"
2,3,"(-5.8153801334117645, -35.21147991952941)"
3,4,"(-5.8153801334117645, -35.21147991952941)"
4,5,"(-5.8153801334117645, -35.21147991952941)"
5,6,"(-5.8153801334117645, -35.21147991952941)"
6,7,"(-5.8153801334117645, -35.21147991952941)"
7,8,"(-5.8153801334117645, -35.21147991952941)"
8,9,"(-5.8153801334117645, -35.21147991952941)"
9,10,"(-5.8153801334117645, -35.21147991952941)"
10,11,"(-5.8153801334117645, -35.21147991952941)"
11,12,"(-5.8153801334117645, -35.21147991952941)"
12,13,"(-5.8153801334117645, -35.21147991952941)"
13,14,"(-5.8153801334117645, -35.21147991952941)"
14,15,"(-5.8153801334117645, -35.21147991952941)"
15,16,"(-5.8153801334117645, -35.21147991952941)"
16,17,"(-5.8153801334117645, -35.21147991952941)"
17,18,"(-5.8153801334117645, -35.21147991952941)"
18,19,"(-5.8153801334117645, -35.21147991952941)"
19,20,"(-5.8153801334117645, -35.21147991952941)"
20,21,"(-5.8153801334117645, -35.21147991952941)"
21,22,"(-5.8153801334117645, -35.21147991952941)"
22,23,"(-5.8153801334117645, -35.21147991952941)"
23,24,"(-5.8153801334117645, -35.21147991952941)"
24,25,"(-5.8153801334117645, -35.21147991952941)"
25,26,"(-5.8153801334117645, -35.21147991952941)"
26,27,"(-5.8153801334117645, -35.21147991952941)"
27,28,"(-5.8153801334117645, -35.21147991952941)"
28,29,"(-5.8153801334117645, -35.21147991952941)"
29,30,"(-5.8153801334117645, -35.21147991952941)"
30,31,"(-5.8153801334117645, -35.21147991952941)"
31,32,"(-5.8153801334117645, -35.21147991952941)"
32,33,"(-5.8153801334117645, -35.21147991952941)"
33,34,"(-5.8153801334117645, -35.21147991952941)"
34,35,"(-5.8153801334117645, -35.21147991952941)"
35,36,"(-5.8153801334117645, -35.21147991952941)"
36,37,"(-5.8153801334117645, -35.21147991952941)"
37,38,"(-5.8153801334117645, -35.21147991952941)"
38,39,"(-5.8153801334117645, -35.21147991952941)"
39,40,"(-5.8153801334117645, -35.21147991952941)"
40,41,"(-5.8153801334117645, -35.21147991952941)"
41,42,"(-5.8153801334117645, -35.21147991952941)"
42,43,"(-5.8153801334117645, -35.21147991952941)"
43,44,"(-5.8153801334117645, -35.21147991952941)"
44,45,"(-5.8153801334117645, -35.21147991952941)"
45,46,"(-5.8153801334117645, -35.21147991952941)"
46,47,"(-5.8153801334117645, -35.21147991952941)"
47,48,"(-5.8153801334117645, -35.21147991952941)"
48,49,"(-5.8153801334117645, -35.21147991952941)"
49,50,"(-5.8153801334117645, -35.21147991952941)"
50,51,"(-5.8153801334117645, -35.21147991952941)"
51,52,"(-5.8153801334117645, -35.21147991952941)"
52,53,"(-5.8153801334117645, -35.21147991952941)"
53,54,"(-5.8153801334117645, -35.21147991952941)"
54,55,"(-5.8153801334117645, -35.21147991952941)"
55,56,"(-5.8153801334117645, -35.21147991952941)"
56,57,"(-5.8153801334117645, -35.21147991952941)"
57,58,"(-5.8153801334117645, -35.21147991952941)"
58,59,"(-5.8153801334117645, -35.21147991952941)"
59,60,"(-5.8153801334117645, -35.21147991952941)"
60,61,"(-5.8153801334117645, -35.21147991952941)"
61,62,"(-5.8153801334117645, -35.21147991952941)"
62,63,"(-5.8153801334117645, -35.21147991952941)"
63,64,"(-5.8153801334117645, -35.21147991952941)"
64,65,"(-5.8153801334117645, -35.21147991952941)"
65,66,"(-5.8153801334117645, -35.21147991952941)"
66,67,"(-5.8153801334117645, -35.21147991952941)"
67,68,"(-5.8153801334117645, -35.21147991952941)"
68,69,"(-5.8153801334117645, -35.21147991952941)"
69,70,"(-5.8153801334117645, -35.21147991952941)"
70,71,"(-5.8153801334117645, -35.21147991952941)"
71,72,"(-5.8153801334117645, -35.21147991952941)"
72,73,"(-5.8153801334117645, -35.21147991952941)"
73,74,"(-5.8153801334117645, -35.21147991952941)"
74,75,"(-5.8153801334117645, -35.21147991952941)"
75,76,"(-5.8153801334117645, -35.21147991952941)"
76,77,"(-5.8153801334117645, -35.21147991952941)"
77,78,"(-5.8153801334117645, -35.21147991952941)"
78,79,"(-5.8153801334117645, -35.21147991952941)"
